GodSpeedRating,RosasRating,UserInteractions,ModelInteractions,Name
4,5,5,2,john
4,5,7,4,Rick
1,1,4,1,Sara
3,2,7,4,Lisa
2,1,19,15,John
4,5,11,8,Blake
5,3,22,19,Lisa
5,4,9,5,Rick
3,1,3,1,Blake
5,5,10,7,Sara
1,1,1,1,John
3,1,7,5,Lisa
4,4,15,10,Blake
4,5,9,6,John
4,3,9,6,Rick
4,5,9,6,Lisa
4,2,8,5,John
3,3,6,3,Lisa
3,2,8,6,Lisa
5,5,7,4,John
1,1,8,5,Lisa
4,3,5,2,Blake
4,5,7,4,John
3,4,10,7,Lisa
3,3,7,4,Lisa
3,3,6,3,Lisa
3,4,7,4,Rick
3,3,8,5,Lisa
3,3,8,5,Lisa
3,3,7,4,Lisa
4,3,10,7,Sara
3,3,9,6,Lisa
4,3,7,4,Sara
3,3,8,5,Lisa
3,4,8,5,Sara
